 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
53,31578,1,1,35,63,35,35,35.0,0.0,63,63,63.0,0.0,3103.426436,63.33523339,31578.0,0.0,31578,31578,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,31.6676167,31.6676167,35,63,44.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,66.5,35.0,63.0,32,0,0,0,0,0,0,1,35,1,63,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
443,5687084,8,5,615,2994,342,0,76.875,125.9562708,1460,0,598.8,701.9381739,634.5958667,2.285881482,473923.6667,1422851.269,4984090,4,5687084,812440.5714,1844443.834,4984090,4,337250,84312.5,96884.84263,169236,208,0,0,0,0,172,112,1.406696296,0.879185185,0,1460,257.7857143,479.7162909,230127.7198,0,0,0,1,0,0,0,0,0,277.6153846,76.875,598.8,172,0,0,0,0,0,0,8,615,5,2994,8192,58,7,20,0.0,0.0,0,0,0.0,0.0,0,0
80,85404112,8,6,381,11595,375,0,47.625,132.296137,4344,0,1932.5,1754.831473,140.2274401,0.163926533,6569547.077,23600000.0,85300000,1,85300000,12200000.0,32200000.0,85300000,1,142470,28494.0,55569.10504,127231,47,0,0,0,0,252,200,0.093672305,0.070254229,0,4344,798.4,1423.866155,2027394.829,0,0,0,0,1,0,0,0,0,855.4285714,47.625,1932.5,252,0,0,0,0,0,0,8,381,6,11595,251,235,2,20,999.0,0.0,999,999,85300000.0,0.0,85300000,85300000
443,115847275,140,140,3345,145772,173,6,23.89285714,51.83769585,1460,6,1041.228571,588.4234557,1287.186082,2.416975281,415223.2079,1758004.666,8095191,0,116000000,833433.2014,2423963.502,8095226,0,116000000,833323.8849,2428987.196,8110286,0,1,0,0,0,2800,2800,1.20848764,1.20848764,6,1460,531.2811388,657.5876769,432421.5528,0,1,0,0,1,0,0,0,1,533.1785714,23.89285714,1041.228571,2800,0,0,0,0,0,0,140,3345,140,145772,1332,63,139,20,212236.8571,205098.1446,875667,129340,8045139.857,14533.32204,8095191,8038837
2604,44,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,181818.1818,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,22727.27273,22727.27273,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
53,131382,1,1,49,108,49,49,49.0,0.0,108,108,108.0,0.0,1194.988659,15.22278547,131382.0,0.0,131382,131382,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,7.611392733,7.611392733,49,108,68.66666667,34.06366588,1160.333333,0,0,0,0,0,0,0,0,1,103.0,49.0,108.0,20,0,0,0,0,0,0,1,49,1,108,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
7512,15,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,533333.3333,133333.3333,15.0,0.0,15,15,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,66666.66667,66666.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
443,202426,7,7,1653,3369,992,0,236.1428571,382.3159377,1460,0,481.2857143,620.8026295,24809.06603,69.16107615,15571.23077,22348.59894,80967,2,177977,29662.83333,38203.25488,105186,529,178598,29766.33333,44226.8092,114337,2,0,0,0,0,152,152,34.58053807,34.58053807,0,1460,334.8,501.4121772,251414.1714,0,0,0,1,0,0,0,0,1,358.7142857,236.1428571,481.2857143,152,0,0,0,0,0,0,7,1653,7,3369,8192,63,6,20,0.0,0.0,0,0,0.0,0.0,0,0
1152,63,2,2,4,12,2,2,2.0,0.0,6,6,6.0,0.0,253968.254,63492.06349,21.0,10.39230485,33,15,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,48,40,31746.03175,31746.03175,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2.0,6.0,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0.0,0.0,0,0,0.0,0.0,0,0
80,84335134,8,6,334,11595,328,0,41.75,115.6815209,5792,0,1932.5,2181.008184,141.4475727,0.166004361,6487318.0,23300000.0,84200000,1,84200000,12000000.0,31800000.0,84200000,1,145475,29095.0,58430.33948,133209,13,0,0,0,0,252,200,0.094859635,0.071144726,0,5792,795.2666667,1621.555799,2629443.21,0,0,0,0,1,0,0,0,0,852.0714286,41.75,1932.5,252,0,0,0,0,0,0,8,334,6,11595,274,235,2,20,989.0,0.0,989,989,84200000.0,0.0,84200000,84200000
80,1893948,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,12.67194242,2.111990403,631316.0,1092620.194,1892965,3,1893948,631316.0,1092620.194,1892965,3,0,0.0,0.0,0,0,0,0,0,0,80,0,2.111990403,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
53,31369,2,2,64,194,32,32,32.0,0.0,97,97,97.0,0.0,8224.680417,127.5144251,10456.33333,18067.61526,31319,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,64,64,63.75721253,63.75721253,32,97,58.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,72.5,32.0,97.0,64,0,0,0,0,0,0,2,64,2,194,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,136,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,14705.88235,136.0,0.0,136,136,136,136.0,0.0,136,136,0,0.0,0.0,0,0,0,0,0,0,64,0,14705.88235,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,364,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,98552810,5,7,618,11595,306,0,123.6,166.5256737,5792,0,1656.428571,1947.638216,123.9234072,0.121762129,8959346.364,29600000.0,98200000,36,98400000,24600000.0,49100000.0,98200000,1014,369613,61602.16667,98303.83003,223023,47,0,0,0,0,156,232,0.050734221,0.071027909,0,5792,939.9230769,1598.657794,2555706.744,1,0,0,0,0,0,0,0,1,1018.25,123.6,1656.428571,156,0,0,0,0,0,0,5,618,7,11595,0,235,2,20,0.0,0.0,0,0,98200000.0,0.0,98200000,98200000
443,117082028,13,13,619,4181,197,0,47.6153846154,64.8363818412,1430,0,321.6153846154,535.2606122973,40.9968983455,0.2220665327,4683281.12,16144080.7234351,58422740,1,117082028,9756835.66666667,22703691.7687174,58422740,518,116973083,9747756.91666667,22720613.3640499,58516230,1,0,0,0,0,272,272,0.1110332664,0.1110332664,0,1430,177.7777777778,392.6883020464,154204.102564103,0,0,0,1,0,0,0,0,1,184.6153846154,47.6153846154,321.6153846154,272,0,0,0,0,0,0,13,619,13,4181,8192,351,12,20,162186.0,97211.6260639642,230925,93447,58324261.0,139270.33740894,58422740,58225782
53,50404,4,2,152,132,38,38,38.0,0.0,66,66,66.0,0.0,5634.4734544877,119.0381715737,10080.8,14290.436476889,30615,3,30666,10222.0,17660.8703919144,30615,3,48,48.0,0.0,48,48,0,0,0,0,104,40,79.3587810491,39.6793905246,38,66,46.0,13.6626010213,186.6666666667,0,0,0,0,0,0,0,0,0,53.6666666667,38.0,66.0,104,0,0,0,0,0,0,4,152,2,132,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
80,722207,3,4,26,11601,20,0,8.666666667,10.26320288,8760,0,2900.25,4128.319301,16099.2624,9.692511981,120367.8333,289854.9892,711980,6,9923,4961.5,6736.606304,9725,198,722201,240733.6667,408141.163,711980,173,0,0,0,0,72,92,4.153933706,5.538578275,0,8760,1453.375,3113.952607,9696700.839,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
53,30711,1,1,51,67,51,51,51.0,0.0,67,67,67.0,0.0,3842.271499,65.12324574,30711.0,0.0,30711,30711,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.56162287,32.56162287,51,67,56.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,84.5,51.0,67.0,32,0,0,0,0,0,0,1,51,1,67,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,1692701,3,4,26,11601,20,0,8.666666667,10.26320288,5840,0,2900.25,3345.636997,6868.903604,4.135402531,282116.8333,676336.1473,1662467,5,29984,14992.0,21194.81866,29979,5,1692652,564217.3333,951229.3713,1662467,157,0,0,0,0,72,92,1.772315371,2.363087161,0,5840,1453.375,2681.356423,7189672.268,0,0,0,1,0,0,0,0,1,1661.0,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
54344,48,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0,0,0,40,0,41666.66667,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,2699399,2,2,101,390,52,49,50.5,2.121320344,276,114,195.0,114.5512986,181.8923397,1.481811322,899799.6667,1537672.603,2675302,619,2675921,2675921.0,0.0,2675921,2675921,2698780,2698780.0,0.0,2698780,2698780,0,0,0,0,52,40,0.740905661,0.740905661,49,276,108.6,97.48230609,9502.8,0,0,0,0,0,0,0,0,1,135.75,50.5,195.0,52,0,0,0,0,0,0,2,101,2,390,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,86491,2,5,20,11607,20,0,10.0,14.14213562,7215,0,2321.4,3327.769794,134430.1719,80.93327629,14415.16667,34743.99254,85334,3,882,882.0,0.0,882,882,86357,21589.25,42498.12743,85334,3,0,0,0,0,52,112,23.12379323,57.80948307,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,2,1661.0,10.0,2321.4,52,0,0,0,0,0,0,2,20,5,11607,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,1996411,7,6,1459,1072,1032,0,208.4285714,385.5298766,949,0,178.6666667,379.5268985,1267.775022,6.511685219,166367.5833,574367.8672,1990229,30,6182,1030.333333,963.9420453,2246,160,1996128,399225.6,889422.4308,1990272,392,0,0,0,0,152,132,3.506292041,3.005393178,0,1032,180.7857143,356.2693835,126927.8736,0,0,1,1,0,0,0,1,0,194.6923077,208.4285714,178.6666667,152,0,0,0,0,0,0,7,1459,6,1072,65535,8,6,20,0.0,0.0,0,0,0.0,0.0,0,0
80,5,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,400000.0,5.0,0.0,5,5,5,5.0,0.0,5,5,0,0.0,0.0,0,0,0,0,0,0,64,0,400000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,42556405,9,7,1583,764,1583,0,175.8888889,527.6666667,764,0,109.1428571,288.7648574,55.15033518,0.375971608,2837093.667,4596192.542,10200000,14,42600000,5319550.625,5256003.872,10200000,51256,41600000,6940363.333,5119950.793,10200000,3593,0,0,0,0,296,232,0.211484029,0.164487578,0,1583,138.0588235,415.7493943,172847.5588,0,0,0,1,0,0,0,0,0,146.6875,175.8888889,109.1428571,296,0,0,0,0,0,0,9,1583,7,764,29200,118,1,32,219889.75,335722.8441,723473,51206,10200000.0,4141.00321,10200000,10200000
2103,54,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,111111.1111,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,18518.51852,18518.51852,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
7103,63,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,126984.127,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,15873.01587,15873.01587,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
53,39949382,2,2,164,294,87,77,82.0,7.071067812,151,143,147.0,5.656854249,11.46450776,0.100126705,13300000.0,23000000.0,39900000,518,39900000,39900000.0,0.0,39900000,39900000,39900000,39900000.0,0.0,39900000,39900000,0,0,0,0,48,40,0.050063353,0.050063353,77,151,109.0,35.04283094,1228.0,0,0,0,0,0,0,0,0,1,136.25,82.0,147.0,48,0,0,0,0,0,0,2,164,2,294,-1,-1,1,20,61274.0,0.0,61274,61274,39900000.0,0.0,39900000,39900000
53,253,2,2,56,224,28,28,28.0,0.0,112,112,112.0,0.0,1106719.368,15810.27668,84.33333333,106.265391,204,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,80,80,7905.13834,7905.13834,28,112,61.6,46.00869483,2116.8,0,0,0,0,0,0,0,0,1,77.0,28.0,112.0,80,0,0,0,0,0,0,2,56,2,224,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
443,77,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,155844.155844156,25974.025974026,77.0,0.0,77,77,77,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0,0,0,40,0,25974.025974026,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,16417,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,566372,2,2,64,280,32,32,32.0,0.0,140,140,140.0,0.0,607.3746584,7.062496027,188790.6667,326911.8882,566276,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,3.531248014,3.531248014,32,140,75.2,59.15403621,3499.2,0,0,0,0,0,0,0,0,1,94.0,32.0,140.0,40,0,0,0,0,0,0,2,64,2,280,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
53,159,2,2,62,94,31,31,31.0,0.0,47,47,47.0,0.0,981132.0755,25157.2327,53.0,53.25410782,109,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,12578.61635,12578.61635,31,47,37.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,64,0,0,0,0,0,0,2,62,2,94,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,99103855,9,5,335,11595,335,0,37.22222222,111.6666667,8688,0,2319.0,3774.237539,120.3787683,0.141265948,7623373.462,27500000.0,99000000,1,99000000,12400000.0,35000000.0,99000000,1,110600,27650.0,48090.89079,99374,46,0,0,0,0,296,168,0.090813824,0.050452124,0,8688,795.3333333,2306.701097,5320869.952,0,0,0,0,1,0,0,0,0,852.1428571,37.22222222,2319.0,296,0,0,0,0,0,0,9,335,5,11595,274,235,1,32,2006.0,0.0,2006,2006,99000000.0,0.0,99000000,99000000
4683,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,23,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,4222165,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,40.02685826,1.421071891,844433.0,1858178.038,4168332,4,4222165,1055541.25,2075248.813,4168332,4,0,0.0,0.0,0,0,1,0,0,0,160,32,1.184226576,0.236845315,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,316,349,2,32,0.0,0.0,0,0,0.0,0.0,0,0
80,2229738,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,10.76359644,1.79393274,743246.0,1286726.689,2229030,354,2229738,743246.0,1286726.689,2229030,354,0,0.0,0.0,0,0,0,0,0,0,80,0,1.79393274,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
443,116246592,24,24,2736,3833,1245,0,114.0,335.7142936435,1596,0,159.7083333333,430.4104693214,56.5091835122,0.4129153309,2473331.74468085,4335450.57117487,10212032,3,116246592,5054199.65217391,5092485.2389519,10240015,3,113297274,4925968.43478261,5186623.69189367,10240200,220,0,0,0,0,776,776,0.2064576654,0.2064576654,0,1596,134.0612244898,379.0458090259,143675.725340136,0,0,0,1,0,0,0,0,1,136.8541666667,114.0,159.7083333333,776,0,0,0,0,0,0,24,2736,24,3833,29200,7085,5,32,104634.181818182,253933.022717337,870271,27962,10195133.9090909,55716.0238287956,10212032,10027144
80,98615862,9,6,366,11595,366,0,40.66666667,122.0,8688,0,1932.5,3384.303045,121.2888044,0.152105348,7043990.143,26300000.0,98500000,3,98500000,12300000.0,34800000.0,98500000,3,145565,29113.0,59473.74206,135226,49,0,0,0,0,296,200,0.091263209,0.060842139,0,8688,747.5625,2173.587418,4724482.263,0,0,0,0,1,0,0,0,0,797.4,40.66666667,1932.5,296,0,0,0,0,0,0,9,366,6,11595,251,235,1,32,1233.0,0.0,1233,1233,98500000.0,0.0,98500000,98500000
53292,3989,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,501.3787917,3989.0,0.0,3989,3989,3989,3989.0,0.0,3989,3989,0,0.0,0.0,0,0,0,0,0,0,52,0,501.3787917,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,52,0,0,0,0,0,0,2,0,0,0,123,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
389,473,10,4,165,326,79,0,16.5,33.01262385,163,0,81.5,94.10809388,1038054.968,29598.30867,36.38461538,28.49718835,104,1,473,52.55555556,53.77990124,166,1,323,107.6666667,102.4808925,226,48,0,0,0,0,336,144,21141.64905,8456.659619,0,163,32.73333333,59.52006464,3542.638095,0,0,0,1,0,0,0,0,0,35.07142857,16.5,81.5,336,0,0,0,0,0,0,10,165,4,326,29200,260,3,32,0.0,0.0,0,0,0.0,0.0,0,0
